"analysisId","outcomeId","exposureId","z","events","database","look","method"
1,345,1082,91.5925925925926,177,"CCAE",1,"SCCS"
2,2796,1082,18.5694716242661,120,"CCAE",1,"SCCS"
2,622,1082,19,1090,"CCAE",1,"SCCS"
2,2763,1082,19.1612903225806,3001,"CCAE",1,"SCCS"
2,2795,1082,19.0803212851406,1868,"CCAE",1,"SCCS"
2,1075,1082,19.2429149797571,111,"CCAE",1,"SCCS"
2,3074,1082,19.2020202020202,455,"CCAE",1,"SCCS"
2,3075,1082,19.2020202020202,404,"CCAE",1,"SCCS"
2,1079,1082,19.4081632653061,55,"CCAE",1,"SCCS"
2,1308,1082,19.2429149797571,62,"CCAE",1,"SCCS"
3,3755,1082,9.18329938900204,400,"CCAE",1,"SCCS"
3,620,1082,8.54198473282443,5,"CCAE",1,"SCCS"
3,5831,1082,NA,NA,"CCAE",1,"SCCS"
3,5830,1082,8.54198473282443,5,"CCAE",1,"SCCS"
3,3619,1082,9.07049345417926,1133,"CCAE",1,"SCCS"
3,1068,1082,9.11122345803842,820,"CCAE",1,"SCCS"
3,3892,1082,9.01001001001001,388,"CCAE",1,"SCCS"
3,1075,1082,9.21450459652707,111,"CCAE",1,"SCCS"
3,5832,1082,8.74658869395711,67,"CCAE",1,"SCCS"
3,3599,1082,9.11122345803842,1816,"CCAE",1,"SCCS"
3,635,1082,9.12145748987854,590,"CCAE",1,"SCCS"
3,5827,1082,8.67117988394584,13,"CCAE",1,"SCCS"
3,5825,1082,9.13171225937183,573,"CCAE",1,"SCCS"
3,601,1082,8.47867298578199,8,"CCAE",1,"SCCS"
3,609,1082,8.97008973080758,17,"CCAE",1,"SCCS"
3,369,1082,9.03009027081244,735,"CCAE",1,"SCCS"
3,3815,1082,9.05025125628141,117,"CCAE",1,"SCCS"
3,2823,1082,8.11577028258888,5,"CCAE",1,"SCCS"
3,1079,1082,9.33057851239669,55,"CCAE",1,"SCCS"
3,3803,1082,8.99000999000999,310,"CCAE",1,"SCCS"
3,1308,1082,9.22494887525562,62,"CCAE",1,"SCCS"
3,1148,1082,9.4602510460251,34,"CCAE",1,"SCCS"
3,624,1082,9.05025125628141,372,"CCAE",1,"SCCS"
3,5829,1082,8.41619585687382,13,"CCAE",1,"SCCS"
3,5828,1082,9.07049345417926,359,"CCAE",1,"SCCS"
3,2453,1082,9.15228426395939,1154,"CCAE",1,"SCCS"
3,366,1082,9.58201058201058,8,"CCAE",1,"SCCS"
3,1122,1082,9,40,"CCAE",1,"SCCS"
3,1125,1082,8.46969696969697,27,"CCAE",1,"SCCS"
3,1126,1082,7.31946755407654,7,"CCAE",1,"SCCS"
4,3073,1082,5.7842605156038,228,"CCAE",1,"SCCS"
4,5752,1082,5.6711140760507,46,"CCAE",1,"SCCS"
4,5520,1082,5.19195046439628,7,"CCAE",1,"SCCS"
4,3072,1082,5.93000693000693,17,"CCAE",1,"SCCS"
4,5760,1082,5.76132521974307,36,"CCAE",1,"SCCS"
4,609,1082,5.77506775067751,17,"CCAE",1,"SCCS"
4,1077,1082,5.57894736842105,49,"CCAE",1,"SCCS"
4,5522,1082,5.72043010752688,18,"CCAE",1,"SCCS"
4,5754,1082,5.93000693000693,16,"CCAE",1,"SCCS"
4,627,1082,5.71140939597315,55,"CCAE",1,"SCCS"
4,5639,1082,5.85871056241427,8,"CCAE",1,"SCCS"
4,5768,1082,5.7842605156038,21,"CCAE",1,"SCCS"
4,5761,1082,5.74763832658569,6,"CCAE",1,"SCCS"
4,2927,1082,5.69792364367046,744,"CCAE",1,"SCCS"
4,610,1082,5.8212824010914,22,"CCAE",1,"SCCS"
5,576,1082,2.31564986737401,3820,"CCAE",1,"SCCS"
5,5767,1082,2.22997416020672,25,"CCAE",1,"SCCS"
5,2764,1082,2.34560053529609,1016,"CCAE",1,"SCCS"
5,3019,1082,2.16555872111428,70,"CCAE",1,"SCCS"
5,611,1082,2.27011118378025,145,"CCAE",1,"SCCS"
6,345,1082,399,529,"CCAE",1,"SCCS"
7,2796,1082,83.0336134453782,345,"CCAE",1,"SCCS"
7,622,1082,85.2068965517241,3437,"CCAE",1,"SCCS"
7,2763,1082,86.719298245614,11171,"CCAE",1,"SCCS"
7,2795,1082,86.719298245614,6691,"CCAE",1,"SCCS"
7,1075,1082,87.4955752212389,345,"CCAE",1,"SCCS"
7,3074,1082,83.7457627118644,1593,"CCAE",1,"SCCS"
7,3075,1082,83.0336134453782,1466,"CCAE",1,"SCCS"
7,1079,1082,86.719298245614,140,"CCAE",1,"SCCS"
7,1308,1082,88.2857142857143,226,"CCAE",1,"SCCS"
8,3755,1082,42.859649122807,1350,"CCAE",1,"SCCS"
8,620,1082,42.6681222707424,12,"CCAE",1,"SCCS"
8,5831,1082,NA,NA,"CCAE",1,"SCCS"
8,5830,1082,42.6681222707424,12,"CCAE",1,"SCCS"
8,3619,1082,43.0528634361233,3986,"CCAE",1,"SCCS"
8,1068,1082,42.2900432900433,2529,"CCAE",1,"SCCS"
8,3892,1082,42.1034482758621,1211,"CCAE",1,"SCCS"
8,1075,1082,43.4444444444444,345,"CCAE",1,"SCCS"
8,5832,1082,42.1034482758621,179,"CCAE",1,"SCCS"
8,3599,1082,43.2477876106195,6211,"CCAE",1,"SCCS"
8,635,1082,42.859649122807,1940,"CCAE",1,"SCCS"
8,5827,1082,41.7350427350427,37,"CCAE",1,"SCCS"
8,5825,1082,43.0528634361233,1894,"CCAE",1,"SCCS"
8,601,1082,42.2900432900433,29,"CCAE",1,"SCCS"
8,609,1082,43.6428571428571,28,"CCAE",1,"SCCS"
8,369,1082,42.2900432900433,2415,"CCAE",1,"SCCS"
8,3815,1082,41.9184549356223,344,"CCAE",1,"SCCS"
8,2823,1082,39.650406504065,10,"CCAE",1,"SCCS"
8,1079,1082,43.2477876106195,140,"CCAE",1,"SCCS"
8,3803,1082,42.1034482758621,977,"CCAE",1,"SCCS"
8,1308,1082,43.8430493273543,226,"CCAE",1,"SCCS"
8,1148,1082,45.7289719626168,140,"CCAE",1,"SCCS"
8,624,1082,41.1940928270042,1023,"CCAE",1,"SCCS"
8,5829,1082,39.983606557377,30,"CCAE",1,"SCCS"
8,5828,1082,41.3728813559322,985,"CCAE",1,"SCCS"
8,2453,1082,43.8430493273543,4200,"CCAE",1,"SCCS"
8,366,1082,42.1034482758621,29,"CCAE",1,"SCCS"
8,1122,1082,43.2477876106195,112,"CCAE",1,"SCCS"
8,1125,1082,41.0168067226891,62,"CCAE",1,"SCCS"
8,1126,1082,39.3225806451613,21,"CCAE",1,"SCCS"
9,3073,1082,27.9855072463768,795,"CCAE",1,"SCCS"
9,5752,1082,26.9329608938547,123,"CCAE",1,"SCCS"
9,5520,1082,27.0898876404494,8,"CCAE",1,"SCCS"
9,3072,1082,30.1526479750779,45,"CCAE",1,"SCCS"
9,5760,1082,26.3972602739726,92,"CCAE",1,"SCCS"
9,609,1082,29.1204819277108,28,"CCAE",1,"SCCS"
9,1077,1082,27.0898876404494,164,"CCAE",1,"SCCS"
9,5522,1082,28.0697674418605,63,"CCAE",1,"SCCS"
9,5754,1082,25.3157894736842,16,"CCAE",1,"SCCS"
9,627,1082,27.735632183908,168,"CCAE",1,"SCCS"
9,5639,1082,27.5714285714286,27,"CCAE",1,"SCCS"
9,5768,1082,28.1545189504373,68,"CCAE",1,"SCCS"
9,5761,1082,28.4985250737463,29,"CCAE",1,"SCCS"
9,2927,1082,27.735632183908,2323,"CCAE",1,"SCCS"
9,610,1082,27.4090909090909,47,"CCAE",1,"SCCS"
10,576,1082,13.265335235378,15812,"CCAE",1,"SCCS"
10,5767,1082,12.531799729364,73,"CCAE",1,"SCCS"
10,2764,1082,13.6412884333821,4456,"CCAE",1,"SCCS"
10,3019,1082,13.1843971631206,305,"CCAE",1,"SCCS"
10,611,1082,13.4092219020173,629,"CCAE",1,"SCCS"
11,345,1082,50.8134715025907,98,"CCAE",1,"SCCS"
12,2796,1082,10.2612612612613,69,"CCAE",1,"SCCS"
12,622,1082,10.4155251141553,621,"CCAE",1,"SCCS"
12,2763,1082,10.7096018735363,1715,"CCAE",1,"SCCS"
12,2795,1082,10.6822429906542,1096,"CCAE",1,"SCCS"
12,1075,1082,10.1234705228031,61,"CCAE",1,"SCCS"
12,3074,1082,10.5606936416185,259,"CCAE",1,"SCCS"
12,3075,1082,10.441647597254,229,"CCAE",1,"SCCS"
12,1079,1082,9.92896174863388,27,"CCAE",1,"SCCS"
12,1308,1082,10.1856823266219,38,"CCAE",1,"SCCS"
13,3755,1082,4.87199060481503,241,"CCAE",1,"SCCS"
13,620,1082,5.83526999316473,5,"CCAE",1,"SCCS"
13,5831,1082,NA,NA,"CCAE",1,"SCCS"
13,5830,1082,5.83526999316473,5,"CCAE",1,"SCCS"
13,3619,1082,4.85823081429408,663,"CCAE",1,"SCCS"
