exposureId,exposureId2,outcomeId
1082,-1,576
1082,-1,2796
1082,-1,622
1082,-1,3755
1082,-1,345
1082,-1,2763
1082,-1,2795
1082,-1,5767
1082,-1,2764
1082,-1,3073
1082,-1,620
1082,-1,5831
1082,-1,5830
1082,-1,3619
1082,-1,1068
1082,-1,5752
1082,-1,3892
1082,-1,1075
1082,-1,5832
1082,-1,3599
1082,-1,635
1082,-1,5827
1082,-1,5825
1082,-1,601
1082,-1,5520
1082,-1,3072
1082,-1,5760
1082,-1,3074
1082,-1,3075
1082,-1,609
1082,-1,369
1082,-1,3815
1082,-1,1077
1082,-1,2823
1082,-1,5522
1082,-1,3019
1082,-1,5754
1082,-1,1079
1082,-1,627
1082,-1,5639
1082,-1,3803
1082,-1,1308
1082,-1,1148
1082,-1,624
1082,-1,5829
1082,-1,5828
1082,-1,2453
1082,-1,5768
1082,-1,5761
1082,-1,366
1082,-1,2927
1082,-1,1122
1082,-1,1125
1082,-1,1126
1082,-1,610
1082,-1,611
5373,5409,576
5373,5409,2796
5373,5409,622
5373,5409,3755
5373,5409,345
5373,5409,2763
5373,5409,2795
5373,5409,5767
5373,5409,2764
5373,5409,3073
5373,5409,620
5373,5409,5831
5373,5409,5830
5373,5409,3619
5373,5409,1068
5373,5409,5752
5373,5409,3892
5373,5409,1075
5373,5409,5832
5373,5409,3599
5373,5409,635
5373,5409,5827
5373,5409,5825
5373,5409,601
5373,5409,5520
5373,5409,3072
5373,5409,5760
5373,5409,3074
5373,5409,3075
5373,5409,609
5373,5409,369
5373,5409,3815
5373,5409,1077
5373,5409,2823
5373,5409,5522
5373,5409,3019
5373,5409,5754
5373,5409,1079
5373,5409,627
5373,5409,5639
5373,5409,3803
5373,5409,1308
5373,5409,1148
5373,5409,624
5373,5409,5829
5373,5409,5828
5373,5409,2453
5373,5409,5768
5373,5409,5761
5373,5409,366
5373,5409,2927
5373,5409,1122
5373,5409,1125
5373,5409,1126
5373,5409,610
5373,5409,611
5374,5410,576
5374,5410,2796
5374,5410,622
5374,5410,3755
5374,5410,345
5374,5410,2763
5374,5410,2795
5374,5410,5767
5374,5410,2764
5374,5410,3073
5374,5410,620
5374,5410,5831
5374,5410,5830
5374,5410,3619
5374,5410,1068
5374,5410,5752
5374,5410,3892
5374,5410,1075
5374,5410,5832
5374,5410,3599
5374,5410,635
5374,5410,5827
5374,5410,5825
5374,5410,601
5374,5410,5520
5374,5410,3072
5374,5410,5760
5374,5410,3074
5374,5410,3075
5374,5410,609
5374,5410,369
5374,5410,3815
5374,5410,1077
5374,5410,2823
5374,5410,5522
5374,5410,3019
5374,5410,5754
5374,5410,1079
5374,5410,627
5374,5410,5639
5374,5410,3803
5374,5410,1308
5374,5410,1148
5374,5410,624
5374,5410,5829
5374,5410,5828
5374,5410,2453
5374,5410,5768
5374,5410,5761
5374,5410,366
5374,5410,2927
5374,5410,1122
5374,5410,1125
5374,5410,1126
5374,5410,610
5374,5410,611
